Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=120.EXR.Q.USD.EUR.SP00.A
,EXR.Q.USD.EUR.SP00.A
,"ECB reference exchange rate, US dollar/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[US dollar ]
,,obs. status
2022Q1,1.1217,Normal value (A)
2021Q4,1.1435,Normal value (A)
2021Q3,1.1788,Normal value (A)
2021Q2,1.2058,Normal value (A)
2021Q1,1.2048,Normal value (A)
2020Q4,1.1929,Normal value (A)
2020Q3,1.1689,Normal value (A)
2020Q2,1.1014,Normal value (A)
2020Q1,1.1027,Normal value (A)
2019Q4,1.1071,Normal value (A)
2019Q3,1.1119,Normal value (A)
2019Q2,1.1237,Normal value (A)
2019Q1,1.1358,Normal value (A)
2018Q4,1.1414,Normal value (A)
2018Q3,1.1629,Normal value (A)
2018Q2,1.1915,Normal value (A)
2018Q1,1.2292,Normal value (A)
2017Q4,1.1774,Normal value (A)
2017Q3,1.1746,Normal value (A)
2017Q2,1.1021,Normal value (A)
2017Q1,1.0648,Normal value (A)
2016Q4,1.0789,Normal value (A)
2016Q3,1.1166,Normal value (A)
2016Q2,1.1292,Normal value (A)
2016Q1,1.1020,Normal value (A)
2015Q4,1.0953,Normal value (A)
2015Q3,1.1117,Normal value (A)
2015Q2,1.1053,Normal value (A)
2015Q1,1.1261,Normal value (A)
2014Q4,1.2498,Normal value (A)
2014Q3,1.3256,Normal value (A)
2014Q2,1.3711,Normal value (A)
2014Q1,1.3696,Normal value (A)
2013Q4,1.3610,Normal value (A)
2013Q3,1.3242,Normal value (A)
2013Q2,1.3062,Normal value (A)
2013Q1,1.3206,Normal value (A)
2012Q4,1.2967,Normal value (A)
2012Q3,1.2502,Normal value (A)
2012Q2,1.2814,Normal value (A)
2012Q1,1.3108,Normal value (A)
2011Q4,1.3482,Normal value (A)
2011Q3,1.4127,Normal value (A)
2011Q2,1.4391,Normal value (A)
2011Q1,1.3680,Normal value (A)
2010Q4,1.3583,Normal value (A)
2010Q3,1.2910,Normal value (A)
2010Q2,1.2708,Normal value (A)
2010Q1,1.3829,Normal value (A)
2009Q4,1.4779,Normal value (A)
2009Q3,1.4303,Normal value (A)
2009Q2,1.3632,Normal value (A)
2009Q1,1.3029,Normal value (A)
2008Q4,1.3180,Normal value (A)
2008Q3,1.5050,Normal value (A)
2008Q2,1.5622,Normal value (A)
2008Q1,1.4976,Normal value (A)
2007Q4,1.4486,Normal value (A)
2007Q3,1.3738,Normal value (A)
2007Q2,1.3481,Normal value (A)
2007Q1,1.3106,Normal value (A)
2006Q4,1.2887,Normal value (A)
2006Q3,1.2743,Normal value (A)
2006Q2,1.2582,Normal value (A)
2006Q1,1.2023,Normal value (A)
2005Q4,1.1884,Normal value (A)
2005Q3,1.2199,Normal value (A)
2005Q2,1.2594,Normal value (A)
2005Q1,1.3113,Normal value (A)
2004Q4,1.2977,Normal value (A)
2004Q3,1.2220,Normal value (A)
2004Q2,1.2046,Normal value (A)
2004Q1,1.2497,Normal value (A)
2003Q4,1.1890,Normal value (A)
2003Q3,1.1248,Normal value (A)
2003Q2,1.1372,Normal value (A)
2003Q1,1.0731,Normal value (A)
2002Q4,0.9994,Normal value (A)
2002Q3,0.9838,Normal value (A)
2002Q2,0.9188,Normal value (A)
2002Q1,0.8766,Normal value (A)
2001Q4,0.8959,Normal value (A)
2001Q3,0.8903,Normal value (A)
2001Q2,0.8725,Normal value (A)
2001Q1,0.9232,Normal value (A)
2000Q4,0.8683,Normal value (A)
2000Q3,0.9052,Normal value (A)
2000Q2,0.9332,Normal value (A)
2000Q1,0.9865,Normal value (A)
1999Q4,1.0380,Normal value (A)
1999Q3,1.0486,Normal value (A)
1999Q2,1.0569,Normal value (A)
1999Q1,1.1216,Normal value (A)
